Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,5.389620,5.389620,5.389620,5.389620,5.066322,0
2016-02-02,5.294850,5.294850,5.294850,5.294850,4.977236,0
2016-02-03,4.875000,4.908700,4.779000,4.795000,4.507371,615191
2016-02-04,5.249370,5.249370,5.249370,5.249370,4.934484,0
2016-02-05,5.179740,5.179740,5.179740,5.179740,4.869031,0
2016-02-08,5.049950,5.049950,5.049950,5.049950,4.747027,0
2016-02-09,5.000410,5.000410,5.000410,5.000410,4.700459,0
2016-02-10,5.049440,5.049440,5.049440,5.049440,4.746547,0
2016-02-11,4.570000,4.570000,4.473270,4.508000,4.237586,417463
2016-02-12,5.048470,5.048470,5.048470,5.048470,4.745636,0
2016-02-15,5.101960,5.101960,5.101960,5.101960,4.795918,0
2016-02-16,5.179940,5.179940,5.179940,5.179940,4.869220,0
2016-02-17,4.651000,4.797000,4.651000,4.795000,4.507371,341363
2016-02-18,5.257840,5.257840,5.257840,5.257840,4.942447,0
2016-02-19,5.281450,5.281450,5.281450,5.281450,4.964641,0
2016-02-22,5.423370,5.423370,5.423370,5.423370,5.098047,0
2016-02-23,5.368450,5.368450,5.368450,5.368450,5.046422,0
2016-02-24,4.880000,4.889120,4.800000,4.840000,4.549671,556973
2016-02-25,5.458640,5.458640,5.458640,5.458640,5.131202,0
2016-02-26,5.493240,5.493240,5.493240,5.493240,5.163725,0
2016-02-29,5.442000,5.442000,5.442000,5.442000,5.115561,0
2016-03-01,5.551810,5.551810,5.551810,5.551810,5.218782,0
2016-03-02,5.539030,5.539030,5.539030,5.539030,5.206769,0
2016-03-03,5.524980,5.524980,5.524980,5.524980,5.193563,0
2016-03-04,5.561460,5.561460,5.561460,5.561460,5.227854,0
2016-03-07,5.020000,5.062500,5.001650,5.050000,4.747074,549674
2016-03-08,5.496950,5.496950,5.496950,5.496950,5.167213,0
2016-03-09,5.505640,5.505640,5.505640,5.505640,5.175382,0
2016-03-10,4.940000,4.962000,4.828000,4.842000,4.551551,727920
2016-03-11,5.540020,5.540020,5.540020,5.540020,5.207701,0
2016-03-14,5.559640,5.559640,5.559640,5.559640,5.226143,0
2016-03-15,5.577460,5.577460,5.577460,5.577460,5.242895,0
2016-03-16,5.609530,5.609530,5.609530,5.609530,5.273041,0
2016-03-17,5.526950,5.526950,5.526950,5.526950,5.226838,0
2016-03-18,5.524380,5.524380,5.524380,5.524380,5.224409,0
2016-03-21,5.558100,5.558100,5.558100,5.558100,5.256297,0
2016-03-22,5.621220,5.621220,5.621220,5.621220,5.315990,0
2016-03-23,5.632450,5.632450,5.632450,5.632450,5.326610,0
2016-03-24,5.005000,5.021000,4.961240,4.983000,4.712424,536912
2016-03-29,5.598460,5.598460,5.598460,5.598460,5.294466,0
2016-03-30,5.621480,5.621480,5.621480,5.621480,5.316236,0
2016-03-31,5.625900,5.625900,5.625900,5.625900,5.320415,0
2016-04-01,5.654130,5.654130,5.654130,5.654130,5.347112,0
2016-04-04,5.638160,5.638160,5.638160,5.638160,5.332010,0
2016-04-05,5.608010,5.608010,5.608010,5.608010,5.303497,0
2016-04-06,5.707160,5.707160,5.707160,5.707160,5.397262,0
2016-04-07,5.642180,5.642180,5.642180,5.642180,5.335812,0
2016-04-08,5.696240,5.696240,5.696240,5.696240,5.386936,0
2016-04-11,5.624240,5.624240,5.624240,5.624240,5.318845,0
2016-04-12,5.671770,5.671770,5.671770,5.671770,5.363795,0
2016-04-13,5.762910,5.762910,5.762910,5.762910,5.449986,0
2016-04-14,5.802470,5.802470,5.802470,5.802470,5.487397,0
2016-04-15,5.783960,5.783960,5.783960,5.783960,5.469893,0
2016-04-18,5.767940,5.767940,5.767940,5.767940,5.454742,0
2016-04-19,5.793160,5.793160,5.793160,5.793160,5.478594,0
2016-04-20,5.784740,5.784740,5.784740,5.784740,5.470631,0
2016-04-21,5.779660,5.779660,5.779660,5.779660,5.465826,0
2016-04-22,5.723910,5.723910,5.723910,5.723910,5.413103,0
2016-04-25,5.685680,5.685680,5.685680,5.685680,5.376950,0
2016-04-26,5.665020,5.665020,5.665020,5.665020,5.357411,0
2016-04-27,5.115000,5.140000,5.100000,5.135000,4.856171,510605
2016-04-28,5.644040,5.644040,5.644040,5.644040,5.337571,0
2016-04-29,5.564000,5.564000,5.564000,5.564000,5.261877,0
2016-05-03,5.572120,5.572120,5.572120,5.572120,5.269555,0
2016-05-04,5.541730,5.541730,5.541730,5.541730,5.240816,0
2016-05-05,5.551870,5.551870,5.551870,5.551870,5.250404,0
