Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,1195.000000,1202.000000,1173.000000,1189.000000,1103.422485,1824537
2016-02-02,1188.000000,1190.000000,1150.000000,1168.000000,1083.933960,1664115
2016-02-03,1177.000000,1197.000000,1158.000000,1165.000000,1081.149780,2667901
2016-02-04,1186.000000,1191.000000,1165.000000,1185.000000,1099.710449,2678423
2016-02-05,1189.000000,1225.000000,1182.000000,1218.000000,1130.335205,4591039
2016-02-08,1225.000000,1241.000000,1194.000000,1200.000000,1113.630859,2499769
2016-02-09,1198.000000,1217.000000,1172.000000,1172.000000,1087.646240,3267539
2016-02-10,1189.000000,1199.000000,1158.000000,1163.000000,1079.293823,2924430
2016-02-11,1156.000000,1156.000000,1109.000000,1109.000000,1029.180420,3500595
2016-02-12,1122.000000,1186.000000,1117.800049,1174.000000,1089.502319,3349383
2016-02-15,1201.000000,1220.000000,1194.000000,1209.000000,1121.983154,1431667
2016-02-16,1215.000000,1223.000000,1199.000000,1212.000000,1124.767090,2639718
2016-02-17,1212.000000,1293.839966,1212.000000,1289.000000,1196.225220,2689253
2016-02-18,1295.000000,1295.000000,1267.000000,1277.000000,1185.088989,1697280
2016-02-19,1277.000000,1281.000000,1259.000000,1270.000000,1178.592529,1182253
2016-02-22,1285.000000,1295.000000,1285.000000,1289.000000,1196.225220,1167737
2016-02-23,1286.000000,1286.000000,1229.000000,1234.000000,1145.183472,2471490
2016-02-24,1233.000000,1235.000000,1161.000000,1180.000000,1095.070313,3789981
2016-02-25,1198.000000,1204.000000,1178.000000,1180.000000,1095.070313,2126745
2016-02-26,1199.000000,1276.000000,1196.000000,1269.000000,1177.664551,3329088
2016-02-29,1262.000000,1324.140015,1256.000000,1320.000000,1224.994019,3930967
2016-03-01,1318.000000,1392.000000,1317.000000,1352.000000,1254.690674,3113473
2016-03-02,1364.000000,1400.000000,1353.000000,1360.000000,1262.114868,4368420
2016-03-03,1362.000000,1370.000000,1349.000000,1364.000000,1265.827026,1604380
2016-03-04,1366.000000,1383.219971,1365.000000,1380.000000,1280.675415,2029331
2016-03-07,1373.000000,1385.000000,1355.000000,1371.000000,1272.323120,2171175
2016-03-08,1425.000000,1468.000000,1421.000000,1462.000000,1356.773560,6045774
2016-03-09,1450.000000,1458.000000,1351.000000,1364.000000,1265.827026,4051959
2016-03-10,1364.000000,1394.000000,1345.000000,1349.000000,1251.906738,1956928
2016-03-11,1367.000000,1378.000000,1350.020020,1378.000000,1278.819336,1232509
2016-03-14,1380.000000,1411.000000,1377.209961,1398.000000,1297.380005,1383817
2016-03-15,1393.000000,1393.000000,1349.000000,1360.000000,1262.114868,1506308
2016-03-16,1366.000000,1370.000000,1348.000000,1350.000000,1252.834717,1521815
2016-03-17,1359.000000,1362.000000,1315.000000,1336.000000,1239.842285,1577930
2016-03-18,1329.000000,1364.000000,1329.000000,1354.000000,1256.546875,1698115
2016-03-21,1346.000000,1351.020020,1336.000000,1344.000000,1247.266479,948656
2016-03-22,1339.000000,1347.000000,1315.000000,1345.000000,1248.194458,1641653
2016-03-23,1344.000000,1370.000000,1344.000000,1367.000000,1268.611206,1278410
2016-03-24,1360.000000,1366.000000,1320.000000,1320.000000,1224.994019,1648398
2016-03-29,1334.000000,1337.000000,1313.000000,1319.000000,1224.065796,1465477
2016-03-30,1328.000000,1377.000000,1328.000000,1370.000000,1271.395264,1218078
2016-03-31,1369.000000,1381.589966,1357.000000,1365.000000,1266.755005,1485218
2016-04-01,1347.000000,1350.000000,1319.000000,1327.000000,1231.490112,1501727
2016-04-04,1327.000000,1336.000000,1309.000000,1310.000000,1215.713623,1366672
2016-04-05,1300.000000,1302.000000,1271.000000,1279.000000,1186.944946,1902721
2016-04-06,1286.000000,1298.000000,1267.000000,1291.000000,1198.081177,1989165
2016-04-07,1277.000000,1296.000000,1269.000000,1293.000000,1199.937256,2534180
2016-04-08,1296.000000,1318.130005,1295.000000,1296.000000,1202.721313,1527991
2016-04-11,1291.000000,1311.000000,1281.000000,1297.000000,1203.649292,1455859
2016-04-12,1290.000000,1314.000000,1255.000000,1301.000000,1207.361450,2976525
2016-04-13,1319.000000,1348.000000,1315.000000,1345.000000,1248.194458,2837036
2016-04-14,1260.000000,1314.000000,1235.239990,1296.000000,1202.721313,7628551
2016-04-15,1289.000000,1295.000000,1262.000000,1273.000000,1181.376465,2262694
2016-04-18,1261.000000,1285.000000,1251.000000,1278.000000,1186.016846,1522658
2016-04-19,1281.000000,1301.000000,1281.000000,1292.000000,1199.009155,2017963
2016-04-20,1281.000000,1295.000000,1268.000000,1283.000000,1190.656982,1465210
2016-04-21,1284.000000,1286.000000,1255.000000,1264.000000,1173.024414,1203574
2016-04-22,1254.000000,1255.000000,1239.680054,1248.000000,1158.176025,1833349
2016-04-25,1247.000000,1256.000000,1231.000000,1234.000000,1145.183472,1150641
2016-04-26,1240.000000,1246.000000,1208.000000,1210.000000,1122.911255,1536814
2016-04-27,1211.000000,1215.000000,1203.000000,1210.000000,1122.911255,2501733
2016-04-28,1204.000000,1215.000000,1192.619995,1213.000000,1125.695190,1636206
2016-04-29,1203.000000,1209.000000,1189.000000,1189.000000,1103.422485,1924997
2016-05-03,1190.000000,1192.000000,1163.000000,1185.000000,1099.710449,3149099
2016-05-04,1182.000000,1188.390015,1170.000000,1179.000000,1094.142212,1969415
2016-05-05,1182.000000,1188.000000,1175.000000,1178.000000,1093.214233,1862254
2016-05-06,1174.000000,1195.000000,1169.000000,1195.000000,1108.990723,2502388
2016-05-09,1202.000000,1202.000000,1175.000000,1176.000000,1091.358276,1627964
2016-05-10,1185.000000,1193.000000,1179.000000,1184.000000,1098.782471,2289179
2016-05-11,1185.000000,1185.000000,1165.000000,1169.000000,1084.862061,2369716
2016-05-12,1162.000000,1162.000000,1139.680054,1140.000000,1057.949341,2614214
2016-05-13,1136.000000,1142.000000,1122.000000,1139.000000,1057.021240,2176060
2016-05-16,1137.000000,1145.000000,1131.000000,1143.000000,1060.733398,1915155
2016-05-17,1148.000000,1152.000000,1133.000000,1143.000000,1060.733398,3171886
2016-05-18,1137.000000,1137.000000,1068.000000,1112.000000,1031.964478,8060997
2016-05-19,1098.000000,1106.000000,1076.000000,1079.000000,1001.339783,3667040
2016-05-20,1077.000000,1108.000000,1073.000000,1095.000000,1016.188171,3634443
2016-05-23,1096.000000,1096.000000,1078.000000,1093.000000,1014.332092,2452938
2016-05-24,1089.000000,1104.000000,1080.000000,1099.000000,1019.900269,1689709
2016-05-25,1108.000000,1108.000000,1086.000000,1086.000000,1007.835815,1728623
2016-05-26,1091.000000,1091.609985,1070.000000,1082.000000,1004.123718,1664390
2016-05-27,1084.000000,1099.000000,1081.000000,1097.000000,1018.044312,1315163
2016-05-31,1097.000000,1102.050049,1071.000000,1074.000000,996.699524,1923083
2016-06-01,1073.000000,1075.000000,1064.000000,1070.000000,992.987366,1809640
2016-06-02,1067.000000,1089.000000,1067.000000,1075.000000,997.627625,1729438
2016-06-03,1081.000000,1082.000000,1060.000000,1070.000000,992.987366,2305236
2016-06-06,1073.000000,1085.000000,1070.280029,1079.000000,1001.339783,1739074
2016-06-07,1080.000000,1103.000000,1076.000000,1102.000000,1022.684204,2415545
2016-06-08,1102.000000,1115.000000,1096.000000,1111.000000,1031.036621,2103966
2016-06-09,1107.000000,1111.000000,1089.000000,1090.000000,1011.547913,3037717
2016-06-10,1087.000000,1090.000000,1067.000000,1068.000000,991.131470,2665685
2016-06-13,1060.000000,1062.000000,1048.000000,1051.000000,975.355042,3059251
2016-06-14,1045.000000,1056.000000,1039.000000,1041.000000,966.074707,2377748
2016-06-15,1055.000000,1082.000000,1054.000000,1062.000000,985.563171,3468507
2016-06-16,1051.000000,1073.000000,1043.000000,1069.000000,992.059448,1881632
2016-06-17,1078.000000,1094.000000,1072.000000,1088.000000,1009.691833,3105340
2016-06-20,1125.000000,1125.000000,1105.000000,1117.000000,1036.604736,1784160
2016-06-21,1118.000000,1134.000000,1112.000000,1124.000000,1043.100830,1947065
2016-06-22,1133.000000,1141.000000,1115.000000,1133.000000,1051.453003,1477690
2016-06-23,1140.000000,1146.000000,1105.000000,1109.000000,1029.180420,2133251
2016-06-24,1100.000000,1160.000000,1055.000000,1126.000000,1044.956787,7342942
2016-06-27,1123.000000,1128.310059,1053.000000,1061.000000,984.635254,5030890
2016-06-28,1082.000000,1115.000000,1077.000000,1100.000000,1020.828247,2371739
2016-06-29,1135.000000,1167.000000,1124.000000,1167.000000,1083.005981,3364606
2016-06-30,1176.000000,1187.000000,1148.319946,1160.000000,1076.509766,4237768
2016-07-01,1169.000000,1174.000000,1152.000000,1166.000000,1082.077881,1839801
2016-07-04,1171.000000,1177.000000,1141.000000,1148.000000,1065.373535,1318133
2016-07-05,1155.000000,1171.000000,1136.000000,1160.000000,1076.509766,2466831
2016-07-06,1168.000000,1179.050049,1156.000000,1169.000000,1084.862061,2543954
2016-07-07,1164.000000,1177.000000,1149.000000,1161.000000,1102.718140,1994552
2016-07-08,1160.000000,1172.000000,1152.000000,1162.000000,1103.667969,1543717
2016-07-11,1175.000000,1253.800049,1160.000000,1211.000000,1150.208374,5264114
2016-07-12,1211.000000,1247.000000,1201.000000,1203.000000,1142.609863,3906035
2016-07-13,1230.000000,1299.000000,1079.010010,1279.000000,1214.794800,7524546
2016-07-14,1287.000000,1290.000000,1239.000000,1250.000000,1187.250488,4243344
2016-07-15,1238.000000,1263.000000,1220.000000,1262.000000,1198.648071,2495341
2016-07-18,1261.000000,1272.000000,1254.000000,1266.000000,1202.447144,2137191
2016-07-19,1269.000000,1295.000000,1261.000000,1281.000000,1216.694336,1707816
2016-07-20,1281.000000,1293.000000,1277.000000,1292.000000,1227.142090,1378173
2016-07-21,1291.000000,1327.000000,1288.000000,1312.000000,1246.138062,2339149
2016-07-22,1308.000000,1321.000000,1296.000000,1299.000000,1233.790649,1861520
2016-07-25,1298.000000,1325.729980,1295.000000,1319.000000,1252.786621,1902008
2016-07-26,1319.000000,1332.000000,1308.599976,1316.000000,1249.937256,1636100
2016-07-27,1325.000000,1364.000000,1324.079956,1344.000000,1276.531616,3747206
2016-07-28,1348.000000,1350.000000,1318.000000,1320.000000,1253.736572,1835238
2016-07-29,1327.000000,1338.329956,1308.000000,1320.000000,1253.736572,1859810
2016-08-01,1321.000000,1327.000000,1297.000000,1304.000000,1238.539673,1322264
2016-08-02,1305.000000,1321.000000,1287.989990,1288.000000,1223.343018,1760906
2016-08-03,1293.000000,1299.000000,1282.000000,1293.000000,1228.091919,1191093
2016-08-04,1296.000000,1316.000000,1277.000000,1298.000000,1232.840820,2188492
2016-08-05,1305.000000,1322.000000,1302.000000,1316.000000,1249.937256,1838586
2016-08-08,1320.000000,1333.000000,1304.000000,1308.000000,1242.338745,2099357
2016-08-09,1308.000000,1321.000000,1306.439941,1317.000000,1250.887085,986080
2016-08-10,1310.000000,1326.000000,1310.000000,1326.000000,1259.435181,1139790
2016-08-11,1332.000000,1335.359985,1310.000000,1335.000000,1267.983398,1246931
2016-08-12,1336.000000,1358.000000,1321.000000,1356.000000,1287.929443,1162499
2016-08-15,1353.000000,1369.000000,1350.000000,1364.000000,1295.527710,1357092
2016-08-16,1355.000000,1376.000000,1354.000000,1366.000000,1297.427368,1788476
2016-08-17,1365.000000,1373.000000,1354.000000,1358.000000,1289.828979,1050698
2016-08-18,1366.000000,1373.000000,1351.819946,1367.000000,1298.377197,1350994
2016-08-19,1366.000000,1369.000000,1353.010010,1361.000000,1292.678223,743313
2016-08-22,1361.000000,1373.000000,1336.510010,1344.000000,1276.531616,1109253
2016-08-23,1351.000000,1373.000000,1348.589966,1369.000000,1300.276611,1146132
2016-08-24,1363.000000,1377.000000,1350.000000,1353.000000,1285.079834,1546565
2016-08-25,1348.000000,1350.000000,1331.000000,1333.000000,1266.083862,885292
2016-08-26,1330.000000,1336.000000,1309.000000,1320.000000,1253.736572,1318676
2016-08-30,1320.000000,1325.000000,1305.000000,1307.000000,1241.389160,1299697
2016-08-31,1303.000000,1313.000000,1300.000000,1304.000000,1238.539673,1128728
2016-09-01,1305.000000,1319.000000,1291.000000,1296.000000,1230.941284,2362418
2016-09-02,1300.000000,1333.000000,1294.000000,1327.000000,1260.385132,1469015
2016-09-05,1330.000000,1330.000000,1314.000000,1316.000000,1249.937256,1220602
2016-09-06,1319.000000,1322.000000,1306.000000,1307.000000,1241.389160,1169566
2016-09-07,1309.000000,1321.119995,1297.000000,1316.000000,1249.937256,1001706
2016-09-08,1316.000000,1321.000000,1283.000000,1285.000000,1220.493530,2802939
2016-09-09,1268.000000,1273.849976,1244.000000,1253.000000,1190.099976,3273536
2016-09-12,1241.000000,1263.000000,1228.000000,1262.000000,1198.648071,2133889
2016-09-13,1263.000000,1290.000000,1253.660034,1274.000000,1210.045654,2216958
2016-09-14,1273.000000,1283.310059,1239.000000,1247.000000,1184.401001,2380228
2016-09-15,1246.000000,1264.000000,1236.000000,1261.000000,1197.698364,2100126
2016-09-16,1261.000000,1304.000000,1237.540039,1301.000000,1235.690308,3675959
2016-09-19,1307.000000,1335.170044,1307.000000,1331.000000,1264.184326,2191621
2016-09-20,1324.000000,1383.000000,1324.000000,1379.000000,1309.774536,3581518
2016-09-21,1379.000000,1386.000000,1345.000000,1368.000000,1299.327026,3493288
2016-09-22,1373.000000,1435.199951,1366.000000,1404.000000,1333.519531,3770801
2016-09-23,1401.000000,1410.000000,1398.000000,1401.000000,1330.670288,2738332
2016-09-26,1398.000000,1414.000000,1397.000000,1409.000000,1338.268799,2481108
2016-09-27,1413.000000,1417.000000,1388.000000,1403.000000,1332.569946,2367046
2016-09-28,1403.000000,1411.000000,1380.000000,1387.000000,1317.373047,2681188
2016-09-29,1385.000000,1397.000000,1344.000000,1353.000000,1285.079834,4058013
2016-09-30,1347.000000,1384.000000,1342.000000,1379.000000,1309.774536,3534624
2016-10-03,1376.000000,1401.000000,1348.599976,1397.000000,1326.871094,2926171
2016-10-04,1398.000000,1431.000000,1396.000000,1420.000000,1348.716675,4187027
2016-10-05,1419.000000,1445.000000,1407.000000,1436.000000,1363.913330,3304138
2016-10-06,1442.000000,1449.000000,1415.000000,1425.000000,1353.465576,2128151
2016-10-07,1434.000000,1472.000000,1432.550049,1464.000000,1390.507813,5947631
2016-10-10,1467.000000,1490.000000,1453.000000,1479.000000,1404.754761,2440017
2016-10-11,1491.000000,1530.000000,1491.000000,1516.000000,1439.897461,5201089
2016-10-12,1514.000000,1526.050049,1505.000000,1516.000000,1439.897461,2537119
2016-10-13,1503.000000,1511.000000,1486.000000,1500.000000,1424.700562,3098499
2016-10-14,1504.000000,1545.000000,1504.000000,1530.000000,1453.194702,2595648
2016-10-17,1518.000000,1528.000000,1506.000000,1512.000000,1436.098267,2617383
2016-10-18,1444.000000,1464.479980,1360.000000,1403.000000,1332.569946,8168074
2016-10-19,1408.000000,1466.000000,1400.920044,1462.000000,1388.608154,3600548
2016-10-20,1464.000000,1464.280029,1443.000000,1450.000000,1377.210449,5461713
2016-10-21,1456.000000,1567.000000,1448.000000,1495.000000,1419.951660,10953448
2016-10-24,1494.000000,1521.239990,1462.099976,1463.000000,1389.558105,2696252
2016-10-25,1461.000000,1518.650024,1451.000000,1460.000000,1386.708618,3130707
2016-10-26,1462.000000,1486.000000,1457.000000,1474.000000,1400.005737,2295999
2016-10-27,1473.000000,1486.000000,1461.000000,1468.000000,1394.306885,2226702
2016-10-28,1468.000000,1484.000000,1455.000000,1471.000000,1397.156372,2239244
2016-10-31,1474.000000,1512.439941,1466.000000,1475.000000,1400.955566,2656274
2016-11-01,1477.000000,1486.000000,1451.000000,1471.000000,1397.156372,3185132
2016-11-02,1466.000000,1477.160034,1451.000000,1455.000000,1381.959717,3109749
2016-11-03,1450.000000,1462.000000,1420.000000,1420.000000,1348.716675,4240437
2016-11-04,1420.000000,1431.000000,1401.000000,1415.000000,1343.967407,2418674
2016-11-07,1434.000000,1470.000000,1433.000000,1470.000000,1396.206543,2916491
2016-11-08,1463.000000,1485.000000,1450.189941,1481.000000,1406.654419,3197658
2016-11-09,1444.000000,1471.000000,1423.540039,1451.000000,1378.160278,4704706
2016-11-10,1469.000000,1489.000000,1432.000000,1441.000000,1368.662354,2319784
2016-11-11,1447.000000,1454.000000,1387.000000,1395.000000,1324.971558,3389101
2016-11-14,1404.000000,1439.739990,1400.000000,1401.000000,1330.670288,2329004
2016-11-15,1409.000000,1426.000000,1400.000000,1413.000000,1342.067871,1638462
2016-11-16,1415.000000,1417.000000,1367.000000,1383.000000,1313.573975,2122409
2016-11-17,1385.000000,1409.000000,1383.439941,1400.000000,1329.720581,1630555
2016-11-18,1408.000000,1409.000000,1389.000000,1401.000000,1330.670288,1400017
2016-11-21,1402.000000,1419.000000,1381.000000,1415.000000,1343.967407,1469712
2016-11-22,1425.000000,1439.000000,1422.949951,1428.000000,1356.314941,1693049
2016-11-23,1433.000000,1445.000000,1414.000000,1427.000000,1355.365234,1925658
2016-11-24,1428.000000,1443.000000,1421.000000,1430.000000,1358.214355,1064745
2016-11-25,1427.000000,1437.000000,1420.000000,1436.000000,1363.913330,827780
2016-11-28,1430.000000,1441.000000,1404.000000,1408.000000,1337.318848,1681321
2016-11-29,1410.000000,1413.000000,1397.000000,1408.000000,1337.318848,1497094
2016-11-30,1407.000000,1429.290039,1406.609985,1429.000000,1357.264771,2223324
2016-12-01,1428.000000,1428.000000,1395.000000,1410.000000,1339.218506,2276937
2016-12-02,1396.000000,1419.000000,1391.369995,1412.000000,1341.118042,1239197
2016-12-05,1420.000000,1455.000000,1399.599976,1438.000000,1365.812988,2812361
2016-12-06,1434.000000,1441.000000,1425.000000,1439.000000,1366.762695,1292379
2016-12-07,1440.000000,1484.000000,1437.000000,1478.000000,1403.804932,2009549
2016-12-08,1472.000000,1497.000000,1446.170044,1480.000000,1405.704590,1746170
2016-12-09,1479.000000,1488.000000,1468.000000,1474.000000,1400.005737,1707643
2016-12-12,1468.000000,1479.000000,1443.000000,1445.000000,1372.461548,1932398
2016-12-13,1458.000000,1487.000000,1457.910034,1474.000000,1400.005737,2229594
2016-12-14,1469.000000,1478.000000,1449.000000,1460.000000,1386.708618,1483047
2016-12-15,1462.000000,1463.000000,1445.000000,1454.000000,1381.009766,4885447
2016-12-16,1457.000000,1489.150024,1453.000000,1489.000000,1414.252808,2247860
2016-12-19,1490.000000,1492.000000,1469.640015,1474.000000,1400.005737,1060753
2016-12-20,1478.000000,1481.000000,1454.000000,1473.000000,1399.056152,1312551
2016-12-21,1474.000000,1480.000000,1464.000000,1471.000000,1397.156372,2823111
2016-12-22,1462.000000,1478.000000,1457.859985,1472.000000,1408.157593,823725
2016-12-23,1467.000000,1470.939941,1450.000000,1463.000000,1399.548096,589566
2016-12-28,1467.000000,1493.000000,1464.329956,1485.000000,1420.593750,1321873
2016-12-29,1482.000000,1487.000000,1474.000000,1484.000000,1419.637085,600247
2016-12-30,1485.000000,1498.000000,1481.000000,1497.000000,1432.073242,639568
2017-01-03,1500.000000,1517.000000,1496.750000,1500.000000,1434.943237,1470432
2017-01-04,1504.000000,1505.000000,1460.000000,1469.000000,1405.287720,2153329
2017-01-05,1459.000000,1464.000000,1443.000000,1450.000000,1387.111694,2191679
2017-01-06,1442.000000,1479.000000,1439.000000,1473.000000,1409.114380,1614496
2017-01-09,1479.000000,1507.000000,1472.000000,1501.000000,1435.899780,1864446
2017-01-10,1501.000000,1538.000000,1501.000000,1533.000000,1466.511963,1983831
2017-01-11,1551.000000,1571.500000,1535.000000,1561.000000,1493.297607,3745825
2017-01-12,1563.000000,1601.000000,1563.000000,1575.000000,1506.690308,2680093
2017-01-13,1582.000000,1613.000000,1567.000000,1611.000000,1541.129028,3487573
2017-01-16,1620.000000,1641.000000,1609.000000,1637.000000,1566.001465,2476029
2017-01-17,1627.000000,1636.000000,1581.000000,1593.000000,1523.909668,2575751
2017-01-18,1610.000000,1650.199951,1574.000000,1650.000000,1578.437500,3798874
2017-01-19,1652.000000,1692.000000,1644.000000,1665.000000,1592.786865,2646576
2017-01-20,1660.000000,1668.000000,1647.000000,1652.000000,1580.350830,2231011
2017-01-23,1635.000000,1658.000000,1627.630005,1652.000000,1580.350830,1137911
2017-01-24,1651.000000,1661.000000,1639.000000,1653.000000,1581.307373,1757458
2017-01-25,1662.000000,1679.000000,1659.000000,1666.000000,1593.743530,1689955
2017-01-26,1666.000000,1672.000000,1658.000000,1666.000000,1593.743530,820284
2017-01-27,1672.000000,1676.000000,1639.000000,1649.000000,1577.480957,1827054
2017-01-30,1641.000000,1647.000000,1614.000000,1626.000000,1555.478394,1790090
2017-01-31,1625.000000,1666.000000,1623.000000,1640.000000,1568.871216,2870693
2017-02-01,1655.000000,1656.000000,1628.000000,1639.000000,1567.914673,1304361
2017-02-02,1634.000000,1647.000000,1620.000000,1637.000000,1566.001465,2025332
2017-02-03,1638.000000,1649.000000,1631.000000,1642.000000,1570.784546,1448482
2017-02-06,1640.000000,1646.000000,1616.000000,1616.000000,1545.912109,1235961
2017-02-07,1619.000000,1642.000000,1618.040039,1622.000000,1551.651855,1148741
2017-02-08,1618.000000,1643.530029,1608.000000,1611.000000,1541.129028,1294988
2017-02-09,1614.000000,1628.000000,1607.300049,1624.000000,1553.565063,1189904
2017-02-10,1633.000000,1650.000000,1629.000000,1632.000000,1561.218140,1330825
2017-02-13,1632.000000,1646.000000,1626.900024,1637.000000,1566.001465,1541179
2017-02-14,1637.000000,1637.000000,1615.000000,1630.000000,1559.304932,1367569
2017-02-15,1640.000000,1644.000000,1626.000000,1642.000000,1570.784546,1843214
2017-02-16,1647.000000,1665.000000,1636.000000,1644.000000,1572.697754,805773
2017-02-17,1647.000000,1662.000000,1639.000000,1660.000000,1588.003784,1100805
2017-02-20,1666.000000,1671.000000,1656.000000,1671.000000,1598.526855,691702
2017-02-21,1673.000000,1674.000000,1655.000000,1665.000000,1592.786865,1297961
2017-02-22,1663.000000,1674.000000,1648.000000,1656.000000,1584.177246,1023429
2017-02-23,1653.000000,1660.000000,1642.000000,1660.000000,1588.003784,1707835
2017-02-24,1662.000000,1668.000000,1643.199951,1661.000000,1588.960449,901658
2017-02-27,1670.000000,1675.000000,1654.000000,1665.000000,1592.786865,795832
2017-02-28,1671.000000,1763.000000,1656.000000,1726.000000,1651.141357,3398416
2017-03-01,1738.000000,1775.000000,1734.000000,1772.000000,1695.146362,3048608
2017-03-02,1775.000000,1776.099976,1755.000000,1768.000000,1691.319702,1856629
2017-03-03,1765.000000,1770.689941,1744.260010,1752.000000,1676.013794,1431700
2017-03-06,1755.000000,1765.000000,1743.000000,1760.000000,1683.666748,1369713
2017-03-07,1761.000000,1772.000000,1758.000000,1763.000000,1686.536499,1287423
2017-03-08,1757.000000,1787.359985,1755.000000,1775.000000,1698.015991,1189248
2017-03-09,1771.000000,1802.000000,1771.000000,1788.000000,1710.452271,1328787
2017-03-10,1797.000000,1810.000000,1791.000000,1804.000000,1725.758179,929943
2017-03-13,1807.000000,1819.000000,1803.000000,1817.000000,1738.194580,1130457
2017-03-14,1819.000000,1838.000000,1785.000000,1789.000000,1711.408936,1773475
2017-03-15,1792.000000,1792.000000,1774.000000,1785.000000,1707.582397,2389021
2017-03-16,1799.000000,1805.000000,1784.000000,1791.000000,1713.322266,1496734
2017-03-17,1793.000000,1793.000000,1780.000000,1785.000000,1707.582397,1842609
2017-03-20,1784.000000,1792.000000,1778.000000,1785.000000,1707.582397,793325
2017-03-21,1785.000000,1786.000000,1752.000000,1757.000000,1680.796753,1211305
2017-03-22,1744.000000,1758.000000,1726.000000,1748.000000,1672.187256,1352475
2017-03-23,1740.000000,1772.000000,1740.000000,1768.000000,1691.319702,929175
2017-03-24,1771.000000,1778.000000,1757.000000,1762.000000,1685.580078,1487389
2017-03-27,1754.000000,1754.000000,1734.000000,1738.000000,1662.620850,1245288
2017-03-28,1747.000000,1752.000000,1729.000000,1735.000000,1659.750854,1500326
2017-03-29,1742.000000,1750.000000,1734.000000,1745.000000,1669.317261,1560396
2017-03-30,1745.000000,1751.000000,1738.000000,1740.000000,1664.534180,1335917
2017-03-31,1739.000000,1739.000000,1724.000000,1724.000000,1649.228027,1428792
2017-04-03,1738.000000,1759.000000,1731.000000,1737.000000,1661.664185,1873817
2017-04-04,1747.000000,1760.000000,1743.000000,1746.000000,1670.273926,1430951
2017-04-05,1756.000000,1759.000000,1731.000000,1734.000000,1658.794312,1268149
2017-04-06,1720.000000,1736.000000,1712.000000,1727.000000,1652.097900,1562523
2017-04-07,1725.000000,1773.060059,1723.000000,1773.000000,1696.102783,1268576
2017-04-10,1776.000000,1792.000000,1759.000000,1761.000000,1684.623291,1109726
2017-04-11,1778.000000,1803.000000,1763.000000,1768.000000,1691.319702,1260834
2017-04-12,1776.000000,1787.000000,1760.000000,1764.000000,1687.493164,1565726
2017-04-13,1770.000000,1772.000000,1748.000000,1763.000000,1686.536499,1281876
2017-04-18,1766.000000,1774.000000,1697.000000,1701.000000,1627.225586,2372286
2017-04-19,1600.000000,1727.729980,1563.000000,1566.000000,1498.080811,6758728
2017-04-20,1565.000000,1601.000000,1543.000000,1592.000000,1522.953003,3748571
2017-04-21,1594.000000,1631.040039,1562.000000,1582.000000,1513.386841,2761666
2017-04-24,1620.000000,1621.000000,1589.000000,1600.000000,1530.606079,1873874
2017-04-25,1606.000000,1610.000000,1577.000000,1589.000000,1520.083130,2108478
2017-04-26,1593.000000,1602.000000,1581.000000,1599.000000,1529.649536,2148359
